                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 2.1655,                 3.7677,                 2.7819,                 2.0701,                 0.4199,                0.16212,                0.14978,                0.07803,                0.39202,                0.14617,                0.12004,                0.04326,                 2.1253,                 3.4814,                 2.7748,                 2.1327,             0.00059413,             0.00059413,             0.00059413
                     55,                 2.1118,                 3.7305,                 2.7695,                 2.0446,                0.39965,                0.15855,                0.15023,                0.07805,                0.38119,                0.12918,                 0.1234,                0.03725,                  2.074,                 3.4261,                 2.6347,                 2.1077,             0.00058175,             0.00058175,             0.00058175
                     56,                 2.1167,                 3.7697,                 2.7886,                 2.0611,                0.38202,                0.16368,                0.16253,                0.08536,                0.30718,                0.13902,                0.12085,                 0.0377,                 2.0875,                 3.4807,                 2.6543,                 2.0996,             0.00056938,             0.00056938,             0.00056938
                     57,                  2.065,                 3.6983,                 2.7128,                 2.0075,                0.36413,                0.16129,                0.15535,                0.08343,                 0.3062,                0.16288,                0.13248,                0.04692,                 2.0734,                 3.4392,                 2.6164,                 2.0954,               0.000557,               0.000557,               0.000557
                     58,                 2.1124,                 3.7013,                 2.7144,                 2.0362,                0.39854,                0.16517,                0.15166,                0.08041,                0.37558,                0.14444,                0.12243,                0.04382,                 2.0668,                  3.405,                 2.7088,                 2.0853,             0.00054463,             0.00054463,             0.00054463
                     59,                 2.0673,                 3.6269,                 2.6663,                 2.0134,                0.36301,                0.18884,                 0.1817,                0.09289,                0.32719,                0.16113,                0.14352,                0.05012,                 2.1194,                 3.4131,                 2.6073,                 2.1342,             0.00053225,             0.00053225,             0.00053225
                     60,                 2.0544,                 3.6412,                 2.6497,                 1.9979,                0.41686,                0.17924,                0.16542,                0.08385,                0.38671,                0.15766,                0.13318,                0.04666,                 2.0664,                 3.3912,                 2.6425,                  2.074,             0.00051988,             0.00051988,             0.00051988
                     61,                 2.0766,                  3.641,                 2.6598,                 1.9947,                 0.3937,                0.19037,                0.17748,                 0.0975,                0.36432,                0.16744,                 0.1439,                0.05563,                 2.0559,                 3.3774,                  2.548,                 2.0686,              0.0005075,              0.0005075,              0.0005075
                     62,                  2.038,                 3.5926,                 2.6062,                  1.971,                0.36673,                0.19007,                0.18639,                0.09681,                0.34974,                0.17507,                0.16132,                0.05066,                  2.052,                 3.3807,                   2.55,                 2.0364,             0.00049513,             0.00049513,             0.00049513
                     63,                 2.0267,                 3.6191,                 2.6185,                  1.983,                0.41915,                0.20559,                0.19672,                0.10965,                0.42548,                0.16799,                0.15498,                0.05177,                 2.0446,                 3.3547,                 2.5331,                 2.0674,             0.00048275,             0.00048275,             0.00048275
                     64,                 2.0395,                 3.6419,                 2.6181,                 1.9756,                0.42115,                0.20992,                0.20001,                0.10638,                0.46173,                0.18486,                 0.1732,                0.06298,                 1.9762,                 3.2971,                 2.5165,                 2.0099,             0.00047038,             0.00047038,             0.00047038
                     65,                  2.026,                 3.5997,                 2.6084,                 1.9572,                0.42839,                0.21015,                  0.204,                0.11429,                0.41357,                0.19068,                0.17219,                0.06433,                 1.9514,                 3.2833,                 2.5009,                 1.9975,               0.000458,               0.000458,               0.000458
                     66,                 2.0134,                  3.563,                 2.5539,                 1.9564,                0.41586,                0.21078,                0.19414,                0.11195,                0.41378,                0.18295,                0.16225,                0.05979,                 1.9843,                 3.3294,                 2.5943,                 2.0354,             0.00044563,             0.00044563,             0.00044563
                     67,                 2.0308,                 3.5749,                 2.5863,                 1.9696,                0.36329,                0.22713,                0.19361,                0.10024,                0.36226,                0.20916,                0.16714,                0.06509,                 1.9708,                 3.2471,                 2.4649,                 2.0027,             0.00043325,             0.00043325,             0.00043325
                     68,                 2.0223,                 3.5875,                 2.5651,                 1.9491,                0.57791,                0.19793,                0.22065,                0.12261,                0.45709,                0.18761,                0.18218,                0.07043,                 1.9766,                 3.2392,                 2.4297,                 2.0265,             0.00042087,             0.00042087,             0.00042087
                     69,                 2.0157,                 3.5688,                 2.5617,                 1.9409,                0.31212,                0.24444,                0.21175,                0.11535,                0.29617,                0.19635,                0.17541,                0.06662,                 1.9397,                 3.2391,                 2.5255,                 1.9803,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.9708,                 3.5527,                 2.5345,                 1.9355,                0.38607,                0.21212,                0.21358,                0.11898,                0.36528,                0.19343,                0.18642,                0.06603,                 1.9927,                 3.2423,                 2.4112,                 2.0082,             0.00039613,             0.00039613,             0.00039613
                     71,                  1.954,                 3.5367,                 2.4714,                 1.9152,                 0.4424,                0.21769,                0.23715,                0.13588,                0.41162,                0.19782,                0.20334,                0.08202,                  1.939,                 3.1807,                  2.371,                 1.9863,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.9493,                 3.4826,                  2.441,                 1.8941,                0.37548,                0.24266,                0.23553,                0.13557,                  0.372,                0.21144,                0.20484,                0.07698,                 1.9478,                  3.201,                 2.4048,                 1.9784,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.9301,                 3.4453,                 2.4415,                 1.8998,                0.44007,                0.24741,                0.25115,                 0.1412,                0.39779,                0.20741,                0.20452,                0.08095,                 1.9053,                 3.1545,                 2.3381,                 1.9711,               0.000359,               0.000359,               0.000359
                     74,                 1.9465,                 3.4894,                 2.4845,                 1.9271,                0.41419,                0.24684,                0.25592,                0.14955,                0.46047,                0.19544,                0.20846,                0.08138,                 1.8749,                 3.1555,                 2.3586,                 1.9471,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.9449,                 3.4789,                 2.4428,                 1.8984,                0.55492,                0.23611,                0.25593,                0.14443,                0.50689,                0.22024,                0.21931,                0.08716,                 1.8954,                 3.1333,                 2.3052,                 1.9422,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.9533,                 3.4585,                 2.4364,                 1.8976,                0.46155,                0.23724,                0.25933,                0.14764,                0.43482,                0.22412,                0.21385,                0.08374,                 1.8566,                 3.1002,                 2.2895,                 1.9151,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.9361,                 3.4578,                 2.4395,                 1.9007,                0.48014,                0.26998,                0.26753,                0.15518,                0.45687,                0.24219,                0.22797,                 0.0911,                 1.8497,                 3.0909,                 2.2557,                 1.8968,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.9273,                 3.4353,                 2.4111,                 1.8872,                 0.4835,                0.24772,                0.26568,                 0.1576,                0.45844,                0.21746,                0.22108,                0.09091,                 1.8695,                 3.0845,                 2.2761,                 1.8974,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.9126,                 3.4166,                 2.3779,                 1.8852,                0.59485,                0.23628,                0.27191,                0.16334,                0.56554,                0.21748,                0.23452,                0.09923,                 1.8465,                 3.0768,                 2.2539,                  1.897,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.9034,                 3.4136,                 2.3885,                 1.8701,                0.51401,                0.28201,                0.28468,                0.16917,                0.47544,                0.25058,                0.23137,                0.09539,                  1.821,                 3.0553,                 2.2063,                 1.8726,             0.00027237,             0.00027237,             0.00027237
                     81,                  1.891,                 3.3699,                 2.3465,                 1.8601,                0.52378,                0.26001,                0.26874,                0.15945,                0.47947,                0.22265,                0.22284,                0.09225,                 1.7988,                 3.0784,                 2.2228,                 1.8639,                0.00026,                0.00026,                0.00026
                     82,                 1.9081,                 3.3945,                 2.3699,                 1.8535,                0.59603,                0.26471,                0.30135,                0.18154,                 0.5742,                0.24086,                0.25589,                0.10812,                 1.8092,                  3.055,                 2.1471,                 1.8588,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.8745,                 3.4058,                 2.3068,                 1.8174,                0.51928,                0.25702,                 0.2896,                0.17613,                0.53379,                0.23417,                0.24948,                0.10296,                  1.826,                  3.039,                 2.1965,                 1.8744,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.8731,                 3.4026,                  2.332,                 1.8426,                0.54644,                0.27711,                0.30044,                0.18295,                0.50614,                0.23912,                0.24564,                0.09971,                 1.8092,                 3.0502,                 2.2163,                  1.854,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.8404,                 3.3234,                 2.2784,                 1.8072,                0.55154,                0.26251,                0.29662,                0.18284,                0.58482,                0.22388,                0.24546,                0.09639,                  1.775,                 3.0656,                 2.1721,                 1.8419,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.8506,                 3.3511,                 2.2875,                 1.8357,                0.46588,                0.28643,                0.29841,                0.18079,                0.44171,                0.25468,                0.25692,                0.10948,                 1.7916,                  2.995,                 2.1532,                 1.8566,             0.00019813,             0.00019813,             0.00019813
                     87,                 1.8288,                 3.3283,                 2.2806,                 1.8116,                 0.5701,                 0.2537,                0.30144,                0.17944,                0.62284,                0.21674,                0.25156,                0.10039,                 1.8228,                 3.0268,                 2.2475,                 1.8768,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.8182,                 3.3063,                 2.2432,                 1.7844,                0.52009,                0.28442,                  0.311,                 0.1959,                0.48404,                0.26306,                0.26294,                0.10869,                 1.7702,                 2.9779,                 2.1311,                 1.8453,             0.00017338,             0.00017338,             0.00017338
                     89,                  1.842,                  3.326,                 2.2304,                 1.8075,                0.65704,                0.25463,                0.32005,                0.19452,                0.59428,                0.22654,                0.25972,                0.11516,                 1.7537,                 2.9742,                 2.1113,                 1.8231,               0.000161,               0.000161,               0.000161
                     90,                 1.8482,                 3.3668,                 2.2509,                 1.8143,                0.62397,                0.26198,                0.31571,                0.19677,                0.60343,                0.24813,                0.27896,                0.11393,                 1.7761,                  2.961,                 2.1245,                  1.833,             0.00014862,             0.00014862,             0.00014862
                     91,                 1.8641,                 3.2269,                  2.342,                 1.8869,                0.53614,                0.29768,                0.32529,                0.19259,                 0.4888,                0.24876,                0.26569,                0.10609,                 1.7791,                 3.0012,                  2.123,                 1.8292,             0.00013625,             0.00013625,             0.00013625
                     92,                 1.7914,                 3.1939,                 2.1994,                 1.8385,                 0.5551,                0.30916,                  0.337,                0.20389,                  0.515,                0.26986,                0.27869,                0.12045,                 1.7528,                 2.9525,                 2.0519,                 1.8121,             0.00012387,             0.00012387,             0.00012387
                     93,                 1.7708,                 3.1215,                 2.1355,                 1.8247,                0.52269,                0.31602,                0.34584,                0.20934,                0.49278,                0.27722,                0.28116,                0.11712,                 1.7347,                 2.9508,                  2.032,                  1.799,              0.0001115,              0.0001115,              0.0001115
                     94,                 1.7759,                 3.1532,                  2.143,                 1.8283,                0.60256,                0.30469,                0.35293,                0.21509,                0.56494,                0.27019,                 0.2944,                0.12215,                   1.73,                 2.9286,                 2.0112,                 1.7837,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 1.7578,                 3.1101,                 2.1149,                 1.8052,                0.58821,                0.30081,                0.35685,                0.22385,                  0.578,                0.27816,                0.30071,                0.13326,                 1.7101,                 2.9003,                 2.0009,                 1.7753,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 1.7295,                 3.0911,                 2.0872,                  1.801,                0.58534,                0.32353,                0.35764,                 0.2244,                  0.595,                  0.292,                0.30597,                0.12946,                 1.6877,                 2.9026,                 1.9919,                 1.7606,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 1.7529,                 3.0871,                 2.0995,                 1.8043,                0.61457,                0.30151,                0.36213,                0.22835,                  0.581,                0.27008,                0.30447,                0.13339,                 1.6682,                 2.8995,                 1.9912,                 1.7556,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 1.7345,                 3.0874,                 2.0961,                 1.7966,                0.61396,                0.30844,                0.37379,                0.23131,                0.62385,                0.26646,                0.30726,                0.13627,                 1.6705,                 2.8952,                 1.9725,                 1.7616,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                  1.727,                 3.0779,                  2.064,                 1.7864,                0.53035,                0.32764,                0.36488,                0.23102,                0.56609,                 0.2799,                0.30749,                0.13646,                 1.6518,                 2.8844,                 1.9469,                 1.7464,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 1.7144,                 3.0678,                 2.0533,                 1.7895,                0.55122,                0.33727,                0.37721,                 0.2366,                 0.5311,                0.29891,                0.31325,                0.13906,                 1.6538,                  2.871,                 1.9445,                 1.7512,             2.4875e-05,             2.4875e-05,             2.4875e-05
